"marca","direc","n_encuestador","sd_01","identidad_genero","edad","año_ingreso_carrera","comuna","clase_social","nivel_educacion_padre","nivel_educacion_madre","ultimo_colegio","ea_01_horas_estudio_semana","ea_02_horas_estudio_fin_semana","descripcion_carga_academica","ea_04_notas_ultimo_semestre","satisfaccion_rendimiento_academico","ea_06_nivel_estres_ultimo_semestre","ea_07_efecto_estres_rendimiento","ea_08","ea_09","ea_10","re_01","re_02","re_03","re_04","re_05","rs_01","rs_02","rs_03","rs_04","rs_05","rs_06","to_01","to_02","to_03","to_04","to_05","to_06","ma_01","ma_02","ma_03","ma_04","ma_05","cm_01","cm_02","cm_03","cm_04","cm_05","cm_06","identidad_genero_r","edad_r","año_ingreso_carrera_r","comuna_r1","comuna_distancia","horas_estudio_semana","notas_ultimo_semestre_intervalo","ea_06_nivel_estres_ultimo_semestre_r","ea_07_efecto_estres_rendimiento_r"
45421.0416568866,"sebastianmunozt@gmail.com","mariana_perez_","Sí","Mujer cisgénero",21,2022,"rancagua","Clase social media","Educación Media","Educación Media","Particular subvencionado","1 o 2 horas al día","3 o 4 horas al día","Moderada",NA,"Insatisfecho",5,"Bastante","A veces, dependiendo de la situación puedo o no identificar si estoy estresado por la universidad.","Dolores de Cabeza, Tensión o dolor muscular, Dolor en el pecho, Fatiga, Problemas de sueño, Irritabilidad o enojo, Diarrea, Cambios en el apetito, Problemas dermatológicos, Sudoración excesiva, Tics Nerviosos","Organización y planificación del tiempo, Consulta con un profesional de salud mental, Tomar descansos regulares","Escéptico","Agnóstico","No mantengo prácticas relacionadas a lo espiritual o lo religioso.","No, no he asistido","Menos influyente","4 horas o más","Mantenerse en contacto con amigos y familiares, Compartir mi propia vida y experiencias, Consumir contenido de entretenimiento (humor, arte, cultura), Seguir a marcas, celebridades, artistas (músicos/as, actores/actrices, humoristas) o deportistas., Obtener información de noticias y eventos, Seguir a políticos/as o activistas sociales, Seguir a instituciones o personas del mundo académico o científico, Participar en grupos o comunidades de interés (Ej: Grupo de Instagram de fans de Los Bunkers)","A veces","Bloqueando o reportando usuarios problemáticos","TikTok","Instagram","Suficiente tiempo.","1 a 2 veces.","Sí, suelo planificar mi tiempo cuidadosamente para equilibrar mis obligaciones académicas y actividades de ocio.","Leer. y/o Escribir, Ver series y / o películas., Salir con amigos / familia.","No, las realizo de forma individual","Moderadamente importante.",4,6,"No","No","Baja frecuencia (1 vez a la semana)",7,"Entre 1 a 2 horas.","Reggaetón","Pop","En su casa o de familiares., En el transporte público, En el lugar de estudio, En otros lugares","Muy importante","Mujer cisgenero","21 a 23","post-pandemia","Fuera de la Región Metropolitana","Fuera de Santiago","1 o 2 horas al día",NA,"Estres Alto","Bastante"
45421.4233071412,"sebastianmunozt@gmail.com","patricia_gonzalez_","Sí","Mujer cisgénero",23,2024,"santiago_centro","Clase social media - alta","Educación Profesional","Educación Profesional","Particular","1 o 2 horas al día","1 o 2 horas al día","Muy pesada",NA,"Satisfecho",4,"Mucho","Si, se identificar cuando estoy estresado debido a la universidad","Dolores de Cabeza, Tensión o dolor muscular, Fatiga, Problemas de sueño, Irritabilidad o enojo, Cambios en el apetito, Problemas dermatológicos","Apoyo social (hablar con amigos/familia), Tomar descansos regulares","No creencias","No tengo una afiliación religiosa, pero si me considero una persona espiritual (por ejemplo, creo en las energías).","No mantengo prácticas relacionadas a lo espiritual o lo religioso.","No, no he asistido","Moderadamente influyente","4 horas o más","Mantenerse en contacto con amigos y familiares, Compartir mi propia vida y experiencias, Consumir contenido de entretenimiento (humor, arte, cultura), Seguir a marcas, celebridades, artistas (músicos/as, actores/actrices, humoristas) o deportistas., Obtener información de noticias y eventos","No","Desconectándome temporalmente","Instagram","WhatsApp","Poco tiempo.","1 a 2 veces.","A veces, intento encontrar un equilibrio, pero no siempre lo logro.","Ver series y / o películas., Practicar deporte / ejercitarse., Salir con amigos / familia.","No, las realizo de forma individual","Muy importante.",1,5,"No","No","Frecuencia moderada (de 2 a 3 veces por semana)",7,"Entre 1 a 2 horas.","Reggaetón","Rock","En su casa o de familiares., En casa de amigos., En el transporte público","Muy importante","Mujer cisgenero","21 a 23","post-pandemia","Zona Centro","Vive muy cerca","1 o 2 horas al día",NA,"Estres Alto","Bastante"
45421.4293096875,"sebastianmunozt@gmail.com","amanda_baez_","Sí","Mujer cisgénero",26,2020,"maipu","Clase social media","Educación Técnica","Educación Técnica","Particular subvencionado","1 o 2 horas al día","3 o 4 horas al día","Ligera",6.4,NA,4,"Moderado","Si, se identificar cuando estoy estresado debido a la universidad","Dolores de Cabeza, Tensión o dolor muscular, Problemas de sueño, Irritabilidad o enojo, Cambios en el apetito","Ejercicio físico, Técnicas de relajación (como de respiración o relajación muscular), Organización y planificación del tiempo, Tomar descansos regulares","No creencias","Ateo","No mantengo prácticas relacionadas a lo espiritual o lo religioso.","No, no he asistido","No influyente en absoluto","4 horas o más","Mantenerse en contacto con amigos y familiares, Compartir mi propia vida y experiencias, Consumir contenido de entretenimiento (humor, arte, cultura), Seguir a marcas, celebridades, artistas (músicos/as, actores/actrices, humoristas) o deportistas., Obtener información de noticias y eventos, Seguir a políticos/as o activistas sociales","Sí","Bloqueando o reportando usuarios problemáticos","Instagram","TikTok","Poco tiempo.","3 a 4 veces.","Sí, suelo planificar mi tiempo cuidadosamente para equilibrar mis obligaciones académicas y actividades de ocio.","Leer. y/o Escribir, Ver series y / o películas., Escuchar música., Dibujar / pintar.","No, las realizo de forma individual","Importante.",5,5,"No","Sí","Frecuencia moderada (de 2 a 3 veces por semana)",7,"Más de 7 horas.","Pop","K-Pop","En su casa o de familiares., En el transporte público, En el lugar de estudio, En otros lugares","Muy importante","Mujer cisgenero","24 a 29","Pandemia","Zona Poniente","Vive a distancia media","1 o 2 horas al día","6.0 a 7.0","Estres Alto","Moderadamente"
45421.4446040394,"sebastianmunozt@gmail.com","sofia_ballerino","Sí","Mujer cisgénero",21,2022,"penaflor","Clase social media - alta","Educación Media","Educación Media","Particular subvencionado","3 o 4 horas al día","5 o 6 horas por días","Moderada",6,"Satisfecho",5,"Mucho","Si, se identificar cuando estoy estresado debido a la universidad","Dolores de Cabeza, Tensión o dolor muscular, Dolor en el pecho, Fatiga, Problemas de sueño, Irritabilidad o enojo, Diarrea, Cambios en el apetito, Sudoración excesiva, Tics Nerviosos","Ejercicio físico, Técnicas de relajación (como de respiración o relajación muscular), Organización y planificación del tiempo, Apoyo social (hablar con amigos/familia), Consulta con un profesional de salud mental, Tomar descansos regulares","Dudas ocasionales","Catolico","No mantengo prácticas relacionadas a lo espiritual o lo religioso.","No, no he asistido","Moderadamente influyente","Entre 3 a 4 horas","Mantenerse en contacto con amigos y familiares, Consumir contenido de entretenimiento (humor, arte, cultura), Seguir a marcas, celebridades, artistas (músicos/as, actores/actrices, humoristas) o deportistas., Obtener información de noticias y eventos, Seguir a políticos/as o activistas sociales, Seguir a instituciones o personas del mundo académico o científico, Participar en grupos o comunidades de interés (Ej: Grupo de Instagram de fans de Los Bunkers)","No sé","Desconectándome temporalmente","Instagram","WhatsApp","Poco tiempo.","1 a 2 veces.","A veces, intento encontrar un equilibrio, pero no siempre lo logro.","Leer. y/o Escribir, Ver series y / o películas., Escuchar música., Practicar deporte / ejercitarse., Dibujar / pintar., Salir con amigos / familia., Tejer","No, las realizo de forma individual","Muy importante.",8,10,"No","No","Frecuencia moderada (de 2 a 3 veces por semana)",7,"Entre 3 a 4 horas.","Pop","Reggaetón","En su casa o de familiares., En casa de amigos., En el transporte público, En el lugar de estudio, En otros lugares","Importante","Mujer cisgenero","21 a 23","post-pandemia","Periurbano","Vive a mucha distancia","3 o 4 horas al día","6.0 a 7.0","Estres Alto","Bastante"
45421.4774062037,"sebastianmunozt@gmail.com","camila_segura","Sí","No binarie",23,2020,"la_florida","Clase social media - alta","Educación Profesional","Educación Técnica","Particular subvencionado","3 o 4 horas al día","3 o 4 horas al día","Moderada",5.9,"Insatisfecho",5,"Mucho","Si, se identificar cuando estoy estresado debido a la universidad","Dolores de Cabeza, Tensión o dolor muscular, Dolor en el pecho, Fatiga, Irritabilidad o enojo, Cambios en el apetito, Problemas dermatológicos","Organización y planificación del tiempo, Apoyo social (hablar con amigos/familia), Consulta con un profesional de salud mental, Tomar descansos regulares","No creencias","Ateo","No mantengo prácticas relacionadas a lo espiritual o lo religioso.","No, no he asistido","Muy influyente","Entre 3 a 4 horas","Mantenerse en contacto con amigos y familiares, Compartir mi propia vida y experiencias, Consumir contenido de entretenimiento (humor, arte, cultura), Seguir a marcas, celebridades, artistas (músicos/as, actores/actrices, humoristas) o deportistas., Obtener información de noticias y eventos, Seguir a políticos/as o activistas sociales, Seguir a instituciones o personas del mundo académico o científico, Participar en grupos o comunidades de interés (Ej: Grupo de Instagram de fans de Los Bunkers)","A veces","Desconectándome temporalmente","Instagram","TikTok","Poco tiempo.","1 a 2 veces.","A veces, intento encontrar un equilibrio, pero no siempre lo logro.","Ver series y / o películas., Escuchar música., Salir con amigos / familia.","No, las realizo de forma individual","Muy importante.",2,3,"No","No","Frecuencia moderada (de 2 a 3 veces por semana)",6,"Entre 1 a 2 horas.","Indie","Reggaetón","En su casa o de familiares., En casa de amigos., En el transporte público, En el lugar de estudio, En otros lugares","Muy importante","Persona de genero diverso","21 a 23","Pandemia","Zona Sur","Vive a distancia media","3 o 4 horas al día","5.0 a 5.9","Estres Alto","Bastante"
45421.486683044,"sebastianmunozt@gmail.com","matilde_cespedes","Sí","Mujer cisgénero",23,2019,"til_til","Clase social media","Educación Profesional","Educación Técnica","Particular subvencionado","3 o 4 horas al día","1 o 2 horas al día","Moderada",5,"Insatisfecho",5,"Bastante","A veces, dependiendo de la situación puedo o no identificar si estoy estresado por la universidad.","Dolores de Cabeza, Problemas de sueño, Irritabilidad o enojo, Diarrea, Sudoración excesiva","Técnicas de relajación (como de respiración o relajación muscular), Apoyo social (hablar con amigos/familia), Consulta con un profesional de salud mental","Creencia moderada","Catolico","No mantengo prácticas relacionadas a lo espiritual o lo religioso.","No, no he asistido","Muy influyente","4 horas o más","Consumir contenido de entretenimiento (humor, arte, cultura), Seguir a instituciones o personas del mundo académico o científico, Participar en grupos o comunidades de interés (Ej: Grupo de Instagram de fans de Los Bunkers)","No","Compartiendo mis preocupaciones con amigos o familiares","Instagram","WhatsApp","Suficiente tiempo.","3 a 4 veces.","No, no administro mi tiempo de manera óptima cuando tengo muchas obligaciones académicas.","Jugar videojuegos., Dibujar / pintar., Salir con amigos / familia., Tejer","No, las realizo de forma individual","Muy importante.",5,9,"Si","No","Frecuencia moderada (de 2 a 3 veces por semana)",6,"Entre 1 a 2 horas.","Hip-Hop, Rap, Freestyle","Indie","En el transporte público","Muy importante","Mujer cisgenero","21 a 23","pre-pandemia","Periurbano","Vive a mucha distancia","3 o 4 horas al día","5.0 a 5.9","Estres Alto","Bastante"
45421.4880635764,"sebastianmunozt@gmail.com","camila_segura","Sí","Mujer cisgénero",19,2023,"buin","Clase social media","Educación Profesional","Educación Profesional","Particular","3 o 4 horas al día","3 o 4 horas al día","Moderada",NA,"Insatisfecho",3,"Moderado","A veces, dependiendo de la situación puedo o no identificar si estoy estresado por la universidad.","Dolores de Cabeza, Cambios en el apetito, Tics Nerviosos","Tomar descansos regulares","Dudas ocasionales","Ateo","No mantengo prácticas relacionadas a lo espiritual o lo religioso.","No, no he asistido","No influyente en absoluto","Entre 1 a 2 horas","Mantenerse en contacto con amigos y familiares, Compartir mi propia vida y experiencias, Obtener información de noticias y eventos, Seguir a políticos/as o activistas sociales","No","No me estresa","Instagram","WhatsApp","Suficiente tiempo.","3 a 4 veces.","A veces, intento encontrar un equilibrio, pero no siempre lo logro.","Escuchar música., Salir con amigos / familia., Bailar y/o Cantar","No, las realizo de forma individual","Importante.",5,8,"No","No","Frecuencia moderada (de 2 a 3 veces por semana)",6,"Entre 1 a 2 horas.","cumbia ska","Reggaetón","En su casa o de familiares., En casa de amigos., En el transporte público","Poco importante","Mujer cisgenero","18 a 20","post-pandemia","Periurbano","Vive a mucha distancia","3 o 4 horas al día",NA,"Estres Moderado","Moderadamente"
45421.5057215625,"sebastianmunozt@gmail.com","venecia","Sí","No binarie",28,2020,"nunoa","Clase social media","Educación Profesional","Educación Profesional","Particular subvencionado","3 o 4 horas al día","1 o 2 horas al día","Moderada",6,"Satisfecho",4,"Bastante","Si, se identificar cuando estoy estresado debido a la universidad","Dolores de Cabeza, Tensión o dolor muscular, Problemas de sueño","Organización y planificación del tiempo, Apoyo social (hablar con amigos/familia), Tomar descansos regulares","Creencia moderada","No tengo una afiliación religiosa, pero si me considero una persona espiritual (por ejemplo, creo en las energías).","A diario.","No, no he asistido","Muy influyente","Entre 3 a 4 horas","Mantenerse en contacto con amigos y familiares, Consumir contenido de entretenimiento (humor, arte, cultura), Obtener información de noticias y eventos, Seguir a políticos/as o activistas sociales, Participar en grupos o comunidades de interés (Ej: Grupo de Instagram de fans de Los Bunkers)","No","No me estresa","Instagram","WhatsApp","Bastante tiempo.","3 a 4 veces.","Sí, suelo planificar mi tiempo cuidadosamente para equilibrar mis obligaciones académicas y actividades de ocio.","Leer. y/o Escribir, Ver series y / o películas., Jugar videojuegos., Bailar y/o Cantar","Sí, con un instructor o grupo","Muy importante.",7,2,"No","No","Baja frecuencia (1 vez a la semana)",7,"Más de 7 horas.","Hip-Hop, Rap, Freestyle","Reggaetón","En su casa o de familiares., En el lugar de estudio","Muy importante","Persona de genero diverso","24 a 29","Pandemia","Zona Centro","Vive a distancia cercana","3 o 4 horas al día","6.0 a 7.0","Estres Alto","Bastante"
45421.5167880903,"sebastianmunozt@gmail.com","veronica_moya_","Sí","Género fluido",22,2020,"puente_alto","Clase social media - baja","Educación Media","Educación Técnica","Particular subvencionado","1 o 2 horas al día","3 o 4 horas al día","Moderada",6,"Insatisfecho",5,"Mucho","Si, se identificar cuando estoy estresado debido a la universidad","Dolores de Cabeza, Tensión o dolor muscular, Dolor en el pecho, Fatiga, Problemas de sueño, Irritabilidad o enojo, Diarrea, Cambios en el apetito, Tics Nerviosos","Técnicas de relajación (como de respiración o relajación muscular), Apoyo social (hablar con amigos/familia), Consulta con un profesional de salud mental","Escéptico","Agnóstico","No mantengo prácticas relacionadas a lo espiritual o lo religioso.","No, no he asistido","Menos influyente","4 horas o más","Mantenerse en contacto con amigos y familiares, Compartir mi propia vida y experiencias, Consumir contenido de entretenimiento (humor, arte, cultura), Seguir a marcas, celebridades, artistas (músicos/as, actores/actrices, humoristas) o deportistas., Obtener información de noticias y eventos, Participar en grupos o comunidades de interés (Ej: Grupo de Instagram de fans de Los Bunkers)","A veces","Bloqueando o reportando usuarios problemáticos","Instagram","TikTok","Poco tiempo.","Más de 6.","A veces, intento encontrar un equilibrio, pero no siempre lo logro.","Leer. y/o Escribir, Ver series y / o películas., Jugar videojuegos.","No, las realizo de forma individual","Importante.",6,6,"No","Sí","Baja frecuencia (1 vez a la semana)",7,"Entre 3 a 4 horas.","Pop","Rock","En el transporte público, En el lugar de estudio","Muy importante","Persona de genero diverso","21 a 23","Pandemia","Zona Sur","Vive a mucha distancia","1 o 2 horas al día","6.0 a 7.0","Estres Alto","Bastante"
45421.5249316204,"sebastianmunozt@gmail.com","venecia_moreno","Sí","No binarie",26,2021,"san_joaquin","Clase social media - baja","Educación Técnica","Educación Técnica","Particular subvencionado","3 o 4 horas al día","3 o 4 horas al día","Moderada",5.5,"Insatisfecho",3,"Moderado","Si, se identificar cuando estoy estresado debido a la universidad","Problemas de sueño, Irritabilidad o enojo, Tics Nerviosos","Técnicas de relajación (como de respiración o relajación muscular), Apoyo social (hablar con amigos/familia), Participar en otras actividades creativas (música, arte, escritura)","No creencias","Ateo","Varias veces a la semana.","No, no he asistido","Moderadamente influyente","Entre 3 a 4 horas","Mantenerse en contacto con amigos y familiares, Consumir contenido de entretenimiento (humor, arte, cultura), Obtener información de noticias y eventos, Seguir a instituciones o personas del mundo académico o científico","No","Desconectándome temporalmente","Instagram","rateyourmusic.com","Suficiente tiempo.","Más de 6.","A veces, intento encontrar un equilibrio, pero no siempre lo logro.","Leer. y/o Escribir, Escuchar música., Tocar música.","Sí, con un instructor o grupo","Muy importante.",4,1,"Si","No","Alta frecuencia (usualmente todos mis productos)",7,"Entre 3 a 4 horas.","Jazz","Folklore","En su casa o de familiares.","Muy importante","Persona de genero diverso","24 a 29","Pandemia","Zona Centro","Vive a distancia media","3 o 4 horas al día","5.0 a 5.9","Estres Moderado","Moderadamente"
45421.5466480208,"sebastianmunozt@gmail.com","sofia_ballerino","Sí","Mujer cisgénero",19,2024,"cerro_navia","Clase social media","Educación Técnica","Educación Técnica","Particular subvencionado","3 o 4 horas al día","1 o 2 horas al día","Moderada",NA,"Satisfecho",3,"Moderado","A veces, dependiendo de la situación puedo o no identificar si estoy estresado por la universidad.","Dolores de Cabeza, Tics Nerviosos","Organización y planificación del tiempo, Tomar descansos regulares","Creencia firme","Cristianismo Protestante (Evangélico, anglicano, etcétera)","Al menos una vez a la semana. Cuando siento la necesidad.","No, no he asistido","Menos influyente","4 horas o más","Mantenerse en contacto con amigos y familiares, Compartir mi propia vida y experiencias, Consumir contenido de entretenimiento (humor, arte, cultura), Seguir a marcas, celebridades, artistas (músicos/as, actores/actrices, humoristas) o deportistas.","Sí","Desconectándome temporalmente","Instagram","TikTok","Poco tiempo.","1 a 2 veces.","A veces, intento encontrar un equilibrio, pero no siempre lo logro.","Ver series y / o películas., Jugar videojuegos., Salir con amigos / familia.","No, las realizo de forma individual","Importante.",3,8,"No","No","Frecuencia moderada (de 2 a 3 veces por semana)",7,"Entre 1 a 2 horas.","K-Pop","Reggaetón","En el transporte público","Importante","Mujer cisgenero","18 a 20","post-pandemia","Zona Norte","Vive a distancia media","3 o 4 horas al día",NA,"Estres Moderado","Moderadamente"
45421.5613720602,"sebastianmunozt@gmail.com","mariana_perez","Sí","Hombre cisgénero",18,2024,"penalolen","Clase social media","Educación Media","Educación Media","Particular subvencionado","3 o 4 horas al día","1 o 2 horas al día","Moderada",5.8,"Satisfecho",3,"Bastante","Si, se identificar cuando estoy estresado debido a la universidad","Dolores de Cabeza, Problemas de sueño, Irritabilidad o enojo, Tics Nerviosos","Ejercicio físico, Tomar descansos regulares","Dudas ocasionales","No tengo una afiliación religiosa, pero si me considero una persona espiritual (por ejemplo, creo en las energías).","No mantengo prácticas relacionadas a lo espiritual o lo religioso.","No, no he asistido","Menos influyente","Entre 1 a 2 horas","Mantenerse en contacto con amigos y familiares, Consumir contenido de entretenimiento (humor, arte, cultura)","No","No me estresa","Instagram","TikTok","Suficiente tiempo.","1 a 2 veces.","A veces, intento encontrar un equilibrio, pero no siempre lo logro.","Jugar videojuegos., Practicar deporte / ejercitarse., Salir con amigos / familia.","No, las realizo de forma individual","Importante.",5,5,"No","No","Frecuencia moderada (de 2 a 3 veces por semana)",7,"Entre 3 a 4 horas.","Reggaetón","Pop","En su casa o de familiares., En el transporte público, En el lugar de estudio, En otros lugares","Importante","Hombre cisgenero","18 a 20","post-pandemia","Zona Oriente","Vive a distancia media","3 o 4 horas al día","5.0 a 5.9","Estres Moderado","Bastante"
45421.562529213,"sebastianmunozt@gmail.com","ignacia_fica","Sí","Mujer cisgénero",19,2024,"penalolen","Clase social media","Educación Media","Educación Técnica","Particular subvencionado","1 o 2 horas al día","1 o 2 horas al día","Moderada",NA,"Satisfecho",3,"Moderado","Si, se identificar cuando estoy estresado debido a la universidad","Dolores de Cabeza, Tensión o dolor muscular, Problemas de sueño, Irritabilidad o enojo, Cambios en el apetito","No utilizo estrategias para manejar el estrés académico","Dudas ocasionales","seria en creer en alguien superior un tipo de energía que se interpreta de diversas formas en la religión pero no es alguien al cual se le pueda poner un nombre","No mantengo prácticas relacionadas a lo espiritual o lo religioso.","No, no he asistido","No influyente en absoluto","4 horas o más","Mantenerse en contacto con amigos y familiares, Compartir mi propia vida y experiencias, Consumir contenido de entretenimiento (humor, arte, cultura), Seguir a marcas, celebridades, artistas (músicos/as, actores/actrices, humoristas) o deportistas., Obtener información de noticias y eventos, Seguir a políticos/as o activistas sociales, tambien aveces me gusta investugar cosas por mi propia cuenta dentro de ello por ejemplp avecees hay informacion academica en estas","Sí","Desconectándome temporalmente","Instagram","TikTok","Bastante tiempo.","Más de 6.","No, no administro mi tiempo de manera óptima cuando tengo muchas obligaciones académicas.","Leer. y/o Escribir, Ver series y / o películas., Escuchar música., Tocar música., Salir con amigos / familia., Bailar y/o Cantar","No, las realizo de forma individual","Importante.",8,6,"No","No","Baja frecuencia (1 vez a la semana)",7,"Entre 3 a 4 horas.","Reggaetón","Hip-Hop, Rap, Freestyle","En su casa o de familiares., En casa de amigos., En el lugar de estudio","Muy importante","Mujer cisgenero","18 a 20","post-pandemia","Zona Oriente","Vive a distancia media","1 o 2 horas al día",NA,"Estres Moderado","Moderadamente"
45421.5647686458,"sebastianmunozt@gmail.com","gabriel_concha_","Sí","Hombre cisgénero",20,2021,"maipu","Clase social media","Educación Media","Educación Media","Público","3 o 4 horas al día","1 o 2 horas al día","Moderada",5.8,"Satisfecho",3,"Moderado","Si, se identificar cuando estoy estresado debido a la universidad","Tensión o dolor muscular, Dolor en el pecho, Fatiga, Problemas de sueño, Irritabilidad o enojo, Problemas dermatológicos, Tics Nerviosos","Organización y planificación del tiempo, Apoyo social (hablar con amigos/familia), Tomar descansos regulares","Dudas ocasionales","Agnóstico","No mantengo prácticas relacionadas a lo espiritual o lo religioso.","No, no he asistido","No influyente en absoluto","Entre 1 a 2 horas","Mantenerse en contacto con amigos y familiares, Compartir mi propia vida y experiencias, Consumir contenido de entretenimiento (humor, arte, cultura), Seguir a instituciones o personas del mundo académico o científico","A veces","Desconectándome temporalmente","Instagram","TikTok","Poco tiempo.","3 a 4 veces.","A veces, intento encontrar un equilibrio, pero no siempre lo logro.","Ver series y / o películas., Jugar videojuegos., Salir con amigos / familia.","Sí, con un instructor o grupo","Importante.",7,8,"Si","Sí","Baja frecuencia (1 vez a la semana)",7,"Entre 3 a 4 horas.","Pop","K-Pop","En su casa o de familiares., En casa de amigos., En el transporte público, En otros lugares","Muy importante","Hombre cisgenero","18 a 20","Pandemia","Zona Poniente","Vive a distancia media","3 o 4 horas al día","5.0 a 5.9","Estres Moderado","Moderadamente"
45421.5714656481,"sebastianmunozt@gmail.com","camila_segura","Sí","Mujer cisgénero",22,2021,"santiago_centro","Clase social media - alta","Educación Profesional","Educación Profesional","Público","3 o 4 horas al día","5 o 6 horas por días","Pesada",6.4,"Satisfecho",4,"Mucho","A veces, dependiendo de la situación puedo o no identificar si estoy estresado por la universidad.","Tensión o dolor muscular, Dolor en el pecho, Fatiga, Problemas de sueño, Irritabilidad o enojo, Diarrea, Cambios en el apetito, Problemas dermatológicos, Sudoración excesiva, Tics Nerviosos","Ejercicio físico, Organización y planificación del tiempo, Apoyo social (hablar con amigos/familia), Participar en otras actividades creativas (música, arte, escritura), No utilizo estrategias para manejar el estrés académico","Creencia firme","No tengo una afiliación religiosa, pero si me considero una persona espiritual (por ejemplo, creo en las energías).","A diario.","No, no he asistido","Muy influyente","Entre 1 a 2 horas","Mantenerse en contacto con amigos y familiares, Consumir contenido de entretenimiento (humor, arte, cultura), Obtener información de noticias y eventos, Participar en grupos o comunidades de interés (Ej: Grupo de Instagram de fans de Los Bunkers)","Sí","elimine todas las redes sociales que no encuentro necesario, de a poco eliminare todas","WhatsApp","Facebook","Suficiente tiempo.","3 a 4 veces.","No, no administro mi tiempo de manera óptima cuando tengo muchas obligaciones académicas.","Leer. y/o Escribir, Practicar deporte / ejercitarse., Dibujar / pintar.","Sí, con un instructor o grupo","Muy importante.",8,5,"No","No","Frecuencia moderada (de 2 a 3 veces por semana)",7,"Entre 5 a 6 horas.","Folklore","Pop","En su casa o de familiares., En casa de amigos., En el transporte público, En el lugar de estudio, En otros lugares","Muy importante","Mujer cisgenero","21 a 23","Pandemia","Zona Centro","Vive muy cerca","3 o 4 horas al día","6.0 a 7.0","Estres Alto","Bastante"
45421.5714882523,"sebastianmunozt@gmail.com","patricia_gonzalez_","Sí","Hombre cisgénero",19,2024,"santiago_centro","Clase social media","Educación Profesional","Educación Técnica","Público","3 o 4 horas al día","3 o 4 horas al día","Moderada",4.5,"Insatisfecho",3,"Moderado","No, no se identificar cuando estoy estresado debido a la universidad","No he experimentado síntomas físicos","Técnicas de relajación (como de respiración o relajación muscular), Apoyo social (hablar con amigos/familia), Tomar descansos regulares","Escéptico","Ateo","No mantengo prácticas relacionadas a lo espiritual o lo religioso.","No, no he asistido","No influyente en absoluto","Entre 3 a 4 horas","Mantenerse en contacto con amigos y familiares, Consumir contenido de entretenimiento (humor, arte, cultura), Seguir a instituciones o personas del mundo académico o científico","No","No me estresa","Instagram","WhatsApp","Poco tiempo.","1 a 2 veces.","No, no administro mi tiempo de manera óptima cuando tengo muchas obligaciones académicas.","Leer. y/o Escribir, Ver series y / o películas., Jugar videojuegos., Escuchar música., Dibujar / pintar.","Sí, con un instructor o grupo","Moderadamente importante.",8,7,"No","No","Frecuencia moderada (de 2 a 3 veces por semana)",7,"Entre 5 a 6 horas.","Rock","Hip-Hop, Rap, Freestyle","En su casa o de familiares., En el transporte público, En otros lugares","Importante","Hombre cisgenero","18 a 20","post-pandemia","Zona Centro","Vive muy cerca","3 o 4 horas al día","4.0 a 4.9","Estres Moderado","Moderadamente"
45421.5721626736,"sebastianmunozt@gmail.com","florencia_martin_","Sí","Ninguno",21,2022,"las_condes","Clase social media - alta","Educación Profesional","Educación Técnica","Particular","3 o 4 horas al día","3 o 4 horas al día","Moderada",5,"Insatisfecho",3,"Mucho","Si, se identificar cuando estoy estresado debido a la universidad","Dolores de Cabeza, Tensión o dolor muscular, Problemas de sueño, Irritabilidad o enojo, Problemas dermatológicos","Ejercicio físico, Organización y planificación del tiempo, Tomar descansos regulares, Participar en otras actividades creativas (música, arte, escritura)","Escéptico","No tengo una afiliación religiosa, pero si me considero una persona espiritual (por ejemplo, creo en las energías).","No mantengo prácticas relacionadas a lo espiritual o lo religioso.","No, no he asistido","Menos influyente","Entre 3 a 4 horas","Mantenerse en contacto con amigos y familiares, Compartir mi propia vida y experiencias, Consumir contenido de entretenimiento (humor, arte, cultura), Seguir a marcas, celebridades, artistas (músicos/as, actores/actrices, humoristas) o deportistas., Obtener información de noticias y eventos, Seguir a políticos/as o activistas sociales, Seguir a instituciones o personas del mundo académico o científico, Trabajo","Sí","Desconectándome temporalmente","Instagram","TikTok","Poco tiempo.","3 a 4 veces.","A veces, intento encontrar un equilibrio, pero no siempre lo logro.","Ver series y / o películas., Tocar música., Bailar y/o Cantar","Sí, con un instructor o grupo","Muy poco importante.",8,10,"Si","Sí","Alta frecuencia (usualmente todos mis productos)",7,"Entre 3 a 4 horas.","Pop","Reggaetón","En su casa o de familiares., En casa de amigos., En el transporte público, En otros lugares","Muy importante","Persona de genero diverso","21 a 23","post-pandemia","Zona Oriente","Vive a distancia media","3 o 4 horas al día","5.0 a 5.9","Estres Moderado","Bastante"
